ID;Name;Address;Zip;City;Phone;Email
C1005;Kenneth Wright;4070 Viverra.  Avenue;72604;Lac-Serent;202-555-0147;kwright@gmail.com
C1006;Kylie Green;4196 Pharetra  Straﬂe;8071;Northumberland;307-555-0125;kylie1990@msn.com
C1013;Shelley Howard;5193 Aliquet Rd.;5404;Broxburn;410-555-0161;howardshelley@outlook.com
C1017;Nash Charles;3549 Nullam  Rd.;487505;Turrialba;208-555-0115;nash_charles@yahoo.com
C1021;Tad Curry;8702 Dolor.  Straﬂe;52201;Carbonear;617-555-0184;tad80curry@gmail.com
C1025;Quon Palmer;7125 Aliquam  Straﬂe;20248;Quimper;803-555-0173;palmer_quimper@msn.com
C1027;Ulric Stein;2438 Ornare  Straﬂe;9663;RÌo Hurtado;860-555-0157;stein7125@outlook.com
C1028;Grace Bridges;243-9174 Semper St.;717993;Chaudfontaine;808-555-0116;grace.bridges@yahoo.com
C1029;Jasper Sweet;564-8483 Cursus  Avenue;21300;York;601-555-0103;sweety_jasper@gmail.com
C1030;Blair Glenn;457-157 Luctus  Rd.;644373;Vilna;405-555-0163;blair_glenn@msn.com
C1031;Bianca Mendoza;2001 Sem St.;151099;ConstituciÛn;919-555-0122;bmendoza@outlook.com
